label,score
5 stars,0.7467707395553589
5 stars,0.814990758895874
5 stars,0.7040334343910217
5 stars,0.6240139007568359
5 stars,0.5224094390869141
5 stars,0.4767322838306427
3 stars,0.4055064022541046
4 stars,0.3344655930995941
3 stars,0.3562600314617157
5 stars,0.4796152412891388
5 stars,0.5819786787033081
4 stars,0.5515778660774231
5 stars,0.8321486711502075
5 stars,0.862516462802887
5 stars,0.6639999747276306
5 stars,0.8160036206245422
5 stars,0.8842074871063232
5 stars,0.795439600944519
5 stars,0.9204077124595642
5 stars,0.8855667114257812
5 stars,0.7624228596687317
4 stars,0.47190234065055847
4 stars,0.4937794506549835
4 stars,0.502247154712677
5 stars,0.8129704594612122
5 stars,0.8464143872261047
5 stars,0.71865314245224
2 stars,0.34961047768592834
1 star,0.271928995847702
1 star,0.4342578649520874
